股票代號,股票名稱,年度,季度,資產總額(百萬元),負債總額(百萬元),權益總額(百萬元),每股參考淨值,單季EPS,單季營收(百萬元),單季毛利率(%),單季營業利益率(%),單季稅後純益率(%),營收年增率(%),每股盈餘年增率(%),ROE(%),ROE年增率(%),毛利率季增率(%),營業利益年增率(%),稅後純益年增率(%),負債佔資產比(%)
2436,偉詮電,107,4,3837.55,947.44,2890.11,16.2,-0.2799999999999999,615.49,24.990000000000002,10.13,-10.93,-3.8600000000000003,-207.69000000000003,-2.3,-232.18,-4.51,80.7,-219.01000000000002,24.69
2436,偉詮電,108,1,3710.75,711.16,2999.59,16.82,0.62,500.44,23.41,0.3,22.14,-15.18,210.0,3.7600000000000002,182.71,-6.32,-93.94,152.06,19.16
2436,偉詮電,108,2,3839.71,991.8,2847.91,15.97,0.26,586.97,25.740000000000002,5.82,7.6499999999999995,-12.08,-60.0,1.54,-64.60000000000001,9.950000000000001,26.97,-69.15,25.83
2436,偉詮電,108,3,3822.83,971.03,2851.8,16.2,0.4999999999999999,634.9,25.080000000000002,2.87,14.180000000000001,-8.16,72.41,3.16,84.8,-2.56,-71.03,66.96,25.4
2438,翔耀,106,4,1048.64,212.25,836.39,6.06,-0.44000000000000006,137.54999999999995,36.120000000000005,-1.15,-18.709999999999997,NA,NA,-3.0300000000000002,NA,NA,NA,NA,20.24
2438,翔耀,107,1,1061.38,244.36,817.02,6.27,0.06,119.64,33.97,21.77,16.95,NA,NA,2.45,NA,-5.949999999999999,NA,NA,23.02
2438,翔耀,107,2,1045.33,204.06,841.27,6.37,0.1,128.66,33.95,22.16,18.84,NA,NA,2.92,NA,-0.06,NA,NA,19.52
2438,翔耀,107,3,1010.34,165.94,844.39,6.32,-0.03,98.14,22.770000000000003,7.109999999999999,4.9399999999999995,NA,NA,0.58,NA,-32.93,NA,NA,16.42
2438,翔耀,107,4,1010.34,171.76,838.57,6.19,-0.04000000000000001,97.73,26.790000000000003,8.62,4.109999999999999,-28.95,90.91,0.48,115.84,17.65,632.57,115.60999999999999,17.0
2438,翔耀,108,1,1016.03,183.02,833.01,6.06,-0.94,105.21,24.05,8.97,-78.68,-12.06,-1666.6699999999998,-9.9,-504.08,-10.23,-63.77,-508.2,18.01
2438,翔耀,108,2,977.77,169.21,808.56,6.05,-0.010000000000000009,106.12,24.45,5.800000000000001,4.92,-17.52,-110.00000000000001,0.64,-78.08,1.66,-78.41,-78.46,17.31
2438,翔耀,108,3,985.86,168.86,816.99,6.07,0.019999999999999907,99.98,25.990000000000002,10.24,8.450000000000001,1.87,166.67000000000002,1.04,79.31,6.3,46.72,74.26,17.130000000000003
2439,美律,106,4,26358.74,12654.5,13704.23,69.11,11.16,10310.57,16.1,8.61,20.830000000000002,NA,NA,17.9,NA,NA,NA,NA,48.010000000000005
2439,美律,107,1,21174.79,8066.47,13108.32,66.01,-0.36,4359.28,9.3,-1.08,-1.63,NA,NA,-0.53,NA,-42.24,NA,NA,38.09
2439,美律,107,2,22654.61,12562.44,10092.17,50.82,0.37,6708.66,9.66,2.67,1.11,NA,NA,0.64,NA,3.8699999999999997,NA,NA,55.45
2439,美律,107,3,26797.93,16909.07,9888.86,49.42,4.220000000000001,11037.06,15.709999999999999,9.4,7.580000000000001,NA,NA,8.37,NA,62.629999999999995,NA,NA,63.1
2439,美律,107,4,30331.58,20252.15,10079.43,49.74,6.24,13389.81,14.469999999999999,8.469999999999999,9.13,29.86,-44.09,12.24,-31.619999999999997,-7.89,27.750000000000004,-43.08,66.77
2439,美律,108,1,24482.44,12473.36,12009.08,57.77,2.07,7631.45,13.29,4.74,5.31,75.06,675.0,3.6700000000000004,792.45,-8.15,868.3299999999999,670.29,50.949999999999996
2439,美律,108,2,26384.24,15068.94,11315.31,54.11,3.82,10064.07,16.12,8.68,7.68,50.019999999999996,932.43,6.63,935.94,21.29,387.69,937.95,57.11000000000001
2439,美律,108,3,28095.87,15813.31,12282.56,58.52,4.3500000000000005,10101.03,14.05,7.1499999999999995,8.780000000000001,-8.48,3.08,7.5200000000000005,-10.16,-12.839999999999998,-30.39,6.01,56.279999999999994
2440,太空梭,106,4,2576.64,1379.08,1197.56,8.61,0.32999999999999996,861.74,10.2,5.04,5.37,NA,NA,3.91,NA,NA,NA,NA,53.52
2440,太空梭,107,1,2521.54,1281.69,1239.85,8.91,0.16,832.27,6.3,1.16,2.74,NA,NA,1.87,NA,-38.24,NA,NA,50.83
2440,太空梭,107,2,2658.03,1443.05,1214.98,8.73,-0.17,888.78,5.47,0.15,-4.130000000000001,NA,NA,-2.9899999999999998,NA,-13.170000000000002,NA,NA,54.290000000000006
2440,太空梭,107,3,2781.14,1594.9,1186.24,8.53,-0.36,837.88,4.9799999999999995,0.03,-4.41,NA,NA,-3.08,NA,-8.959999999999999,NA,NA,57.35
2440,太空梭,107,4,2652.85,1476.5,1176.36,8.46,-0.04999999999999999,826.96,5.58,0.15,-0.84,-4.04,-115.14999999999999,-0.59,-115.09,12.049999999999999,-97.14,-115.00999999999999,55.66
2440,太空梭,108,1,2764.36,1597.76,1166.6,8.39,0.0,590.57,5.48,-1.48,0.1,-29.04,-100.0,0.05,-97.33000000000001,-1.79,-190.53,-97.41,57.8
2440,太空梭,108,2,2520.34,1418.06,1102.28,7.92,-0.27,679.86,4.77,-2.23,-5.510000000000001,-23.51,-58.81999999999999,-3.3000000000000003,-10.37,-12.959999999999999,-1237.21,-2.0500000000000003,56.26
2440,太空梭,108,3,2376.73,1315.18,1061.55,7.63,-0.14999999999999997,710.98,6.08,1.24,-3.0700000000000003,-15.15,58.330000000000005,-2.02,34.42,27.46,3407.32,40.93,55.34
2441,超豐,106,4,18139.89,2615.95,15523.94,27.29,1.1400000000000001,3128.42,28.449999999999996,24.310000000000002,20.68,NA,NA,4.25,NA,NA,NA,NA,14.42
2441,超豐,107,1,19094.73,2845.39,16249.35,28.57,1.1,3052.69,28.49,24.82,20.48,NA,NA,3.94,NA,0.13999999999999999,NA,NA,14.899999999999999
2441,超豐,107,2,19742.04,4564.32,15177.72,26.68,1.13,3193.42,28.02,24.55,20.05,NA,NA,4.07,NA,-1.6500000000000001,NA,NA,23.119999999999997
2441,超豐,107,3,18702.06,2865.11,15836.94,27.84,1.17,3269.12,27.41,23.89,20.46,NA,NA,4.31,NA,-2.18,NA,NA,15.32
2441,超豐,107,4,18824.56,2605.5,16219.06,28.51,0.7799999999999998,2841.2,21.05,17.45,15.5,-9.180000000000001,-31.580000000000002,2.75,-35.29,-23.200000000000003,-34.81,-31.929999999999996,13.84
2441,超豐,108,1,18948.52,2375.05,16573.47,29.14,0.6,2543.4,20.01,16.08,13.350000000000001,-16.68,-45.45,2.07,-47.46,-4.9399999999999995,-46.02,-45.69,12.53
2441,超豐,108,2,19555.51,4025.03,15530.49,27.3,0.85,2958.94,24.6,20.380000000000003,16.42,-7.340000000000001,-24.779999999999998,3.0300000000000002,-25.55,22.939999999999998,-23.080000000000002,-24.12,20.580000000000002
2441,超豐,108,3,18837.86,2693.94,16143.92,28.38,1.03,3295.78,24.59,20.979999999999997,17.669999999999998,0.8200000000000001,-11.97,3.6799999999999997,-14.62,-0.04,-11.459999999999999,-12.93,14.299999999999999
2442,新美齊,106,4,7154.86,4670.24,2484.62,10.16,-0.21,690.16,14.549999999999999,-5.57,-6.68,NA,NA,-1.8499999999999999,NA,NA,NA,NA,65.27
2442,新美齊,107,1,7259.91,4666.57,2593.34,10.58,-0.15,521.98,13.48,-2.36,-6.93,NA,NA,-1.4200000000000002,NA,-7.35,NA,NA,64.28
2442,新美齊,107,2,7718.72,5083.96,2634.76,10.74,0.15,597.33,14.29,-1.1400000000000001,6.13,NA,NA,1.4000000000000001,NA,6.01,NA,NA,65.86999999999999
2442,新美齊,107,3,8865.1,6119.21,2745.89,11.19,0.45,1077.08,20.66,9.569999999999999,10.73,NA,NA,4.3,NA,44.58,NA,NA,69.03
2442,新美齊,107,4,8147.26,4218.61,3928.65,14.01,3.01,3931.54,28.64,19.52,19.29,469.66,1533.33,22.720000000000002,1328.1100000000001,38.629999999999995,2096.35,1745.01,51.78
2442,新美齊,108,1,8231.77,3976.53,4255.24,14.64,0.63,1099.94,16.05,0.09,29.4,110.72,520.0,7.9,656.3399999999999,-43.96,108.04,993.98,48.309999999999995
2442,新美齊,108,2,8707.07,4542.31,4164.77,14.19,0.010000000000000009,1148.57,13.020000000000001,-2.4699999999999998,2.78,92.28,-93.33,0.76,-45.71,-18.88,-316.62,-12.8,52.17
2442,新美齊,108,3,10426.9,5809.52,4617.39,12.79,-0.13,1069.34,13.94,-4.42,-3.81,-0.72,-128.89,-0.9299999999999999,-121.63,7.07,-145.85,-135.25,55.720000000000006
2443,億麗,106,4,1842.52,398.97,1443.56,9.6,-0.4700000000000002,244.31,-0.62,-28.17,-28.21,NA,NA,-4.760000000000001,NA,NA,NA,NA,21.65
2443,億麗,107,1,1901.08,487.11,1413.97,9.4,-0.25,306.17,11.36,-12.17,-11.91,NA,NA,-2.55,NA,1932.2600000000002,NA,NA,25.619999999999997
2443,億麗,107,2,1998.97,710.96,1288.01,8.56,-0.75,289.4,-8.62,-37.940000000000005,-38.7,NA,NA,-8.290000000000001,NA,-175.88,NA,NA,35.57
2443,億麗,107,3,1950.97,811.99,1138.98,7.55,-0.95,423.05,-0.3,-21.78,-32.879999999999995,NA,NA,-11.459999999999999,NA,96.52,NA,NA,41.620000000000005
2443,億麗,107,4,1915.81,884.92,1030.9,6.82,-0.3899999999999999,168.24,1.76,-36.18,-63.29,-31.14,17.02,-9.81,-106.08999999999999,686.67,11.559999999999999,-54.50000000000001,46.19
2443,億麗,108,1,1870.59,927.49,943.09,6.22,-0.64,151.98,-21.65,-65.14,-61.74000000000001,-50.36000000000001,-156.0,-9.51,-272.94,-1330.11,-165.69,-157.32,49.58
2443,億麗,108,2,1990.38,1090.53,899.85,5.92,-0.32999999999999996,206.74,-10.32,-32.14,-23.150000000000002,-28.560000000000002,56.00000000000001,-5.19,37.39,52.33,39.48,57.269999999999996,54.790000000000006
